#X Y Z dish_diam station mount
-1601614.0612 -5042001.67655 3554652.4556 25 vla-00 ALT-AZ
-1602592.82353 -5042055.01342 3554140.65277 25 vla-01 ALT-AZ
-1604008.70191 -5042135.83581 3553403.66677 25 vla-02 ALT-AZ
-1605808.59818 -5042230.07046 3552459.16736 25 vla-03 ALT-AZ
-1607962.41167 -5042338.15777 3551324.88728 25 vla-04 ALT-AZ
-1610451.98712 -5042471.38047 3550021.01156 25 vla-05 ALT-AZ
-1613255.37344 -5042613.05253 3548545.86436 25 vla-06 ALT-AZ
-1616361.55414 -5042770.44074 3546911.38642 25 vla-07 ALT-AZ
-1619757.27801 -5042937.57456 3545120.33283 25 vla-08 ALT-AZ
-1600801.8806 -5042219.38668 3554706.38228 25 vla-09 ALT-AZ
-1599926.05941 -5042772.99258 3554319.74284 25 vla-10 ALT-AZ
-1598663.0464 -5043581.42675 3553766.97336 25 vla-11 ALT-AZ
-1597053.09556 -5044604.74775 3553058.94731 25 vla-12 ALT-AZ
-1595124.91894 -5045829.51558 3552210.61536 25 vla-13 ALT-AZ
-1592894.06565 -5047229.19866 3551221.18004 25 vla-14 ALT-AZ
-1590380.58836 -5048810.32526 3550108.40109 25 vla-15 ALT-AZ
-1587600.20193 -5050575.97608 3548885.37942 25 vla-16 ALT-AZ
-1584460.89944 -5052385.73479 3547599.95893 25 vla-17 ALT-AZ
-1601147.88523 -5041733.85511 3555235.91485 25 vla-18 ALT-AZ
-1601061.91592 -5041175.90771 3556057.98198 25 vla-19 ALT-AZ
-1600929.96685 -5040316.40179 3557330.27755 25 vla-20 ALT-AZ
-1600780.99626 -5039347.46356 3558761.48715 25 vla-21 ALT-AZ
-1600592.69255 -5038121.38064 3560574.80334 25 vla-22 ALT-AZ
-1600374.8084 -5036704.25301 3562667.85595 25 vla-23 ALT-AZ
-1600128.31399 -5035104.17725 3565024.64505 25 vla-24 ALT-AZ
-1599855.571 -5033332.40332 3567636.57859 25 vla-25 ALT-AZ
-1599557.83837 -5031396.39194 3570494.71676 25 vla-26 ALT-AZ
