#X Y Z dish_diam station mount
-1601315.87428 -5041985.32447 3554808.26378 25 vla-00 ALT-AZ
-1601614.0612 -5042001.67655 3554652.4556 25 vla-01 ALT-AZ
-1602044.86752 -5042025.83427 3554427.79107 25 vla-02 ALT-AZ
-1602592.82353 -5042055.01342 3554140.65277 25 vla-03 ALT-AZ
-1603249.63587 -5042091.41679 3553797.75905 25 vla-04 ALT-AZ
-1604008.70191 -5042135.83581 3553403.66677 25 vla-05 ALT-AZ
-1604865.61432 -5042190.03185 3552962.31518 25 vla-06 ALT-AZ
-1605808.59818 -5042230.07046 3552459.16736 25 vla-07 ALT-AZ
-1606841.92319 -5042279.67767 3551912.96333 25 vla-08 ALT-AZ
-1601068.77119 -5042051.92937 3554824.76736 25 vla-09 ALT-AZ
-1600801.8806 -5042219.38668 3554706.38228 25 vla-10 ALT-AZ
-1600416.76602 -5042462.38258 3554536.01918 25 vla-11 ALT-AZ
-1599926.05941 -5042772.99258 3554319.74284 25 vla-12 ALT-AZ
-1599340.77166 -5043150.99436 3554065.18599 25 vla-13 ALT-AZ
-1598663.0464 -5043581.42675 3553766.97336 25 vla-14 ALT-AZ
-1597899.87436 -5044068.73181 3553432.39888 25 vla-15 ALT-AZ
-1597053.09556 -5044604.74775 3553058.94731 25 vla-16 ALT-AZ
-1596127.7066 -5045193.79814 3552652.36866 25 vla-17 ALT-AZ
-1601173.90363 -5041902.67908 3554987.48576 25 vla-18 ALT-AZ
-1601147.88523 -5041733.85511 3555235.91485 25 vla-19 ALT-AZ
-1601109.97951 -5041488.11869 3555597.38671 25 vla-20 ALT-AZ
-1601061.91592 -5041175.90771 3556057.98198 25 vla-21 ALT-AZ
-1601004.61864 -5040802.82642 3556610.1159 25 vla-22 ALT-AZ
-1600929.96685 -5040316.40179 3557330.27755 25 vla-23 ALT-AZ
-1600863.57128 -5039885.32304 3557965.28013 25 vla-24 ALT-AZ
-1600780.99626 -5039347.46356 3558761.48715 25 vla-25 ALT-AZ
-1600690.84261 -5038758.66999 3559632.01575 25 vla-26 ALT-AZ
