#X Y Z dish_diam station mount
-1601188.98935 -5042000.5186 3554843.38448 25 vla-00 ALT-AZ
-1601225.23099 -5041980.39073 3554855.65799 25 vla-01 ALT-AZ
-1601265.11033 -5041982.56338 3554834.81641 25 vla-02 ALT-AZ
-1601315.87428 -5041985.32447 3554808.26378 25 vla-03 ALT-AZ
-1601376.95004 -5041988.68289 3554776.34487 25 vla-04 ALT-AZ
-1601447.17677 -5041992.52919 3554739.64727 25 vla-05 ALT-AZ
-1601526.33527 -5041996.87636 3554698.28489 25 vla-06 ALT-AZ
-1601614.0612 -5042001.67655 3554652.4556 25 vla-07 ALT-AZ
-1601709.98742 -5042006.94253 3554602.30631 25 vla-08 ALT-AZ
-1601192.42419 -5042022.88354 3554810.38332 25 vla-09 ALT-AZ
-1601150.02746 -5042000.63073 3554860.7035 25 vla-10 ALT-AZ
-1601114.31818 -5042023.1877 3554844.92242 25 vla-11 ALT-AZ
-1601068.77119 -5042051.92937 3554824.76736 25 vla-12 ALT-AZ
-1601014.40566 -5042086.26158 3554800.76897 25 vla-13 ALT-AZ
-1600951.54572 -5042125.92728 3554772.9872 25 vla-14 ALT-AZ
-1600880.54526 -5042170.37685 3554741.42504 25 vla-15 ALT-AZ
-1600801.8806 -5042219.38668 3554706.38228 25 vla-16 ALT-AZ
-1600715.91885 -5042273.14215 3554668.12876 25 vla-17 ALT-AZ
-1601185.55397 -5041978.19157 3554876.38264 25 vla-18 ALT-AZ
-1601180.82094 -5041947.4599 3554921.57337 25 vla-19 ALT-AZ
-1601177.36845 -5041925.0691 3554954.53257 25 vla-20 ALT-AZ
-1601173.90363 -5041902.67908 3554987.48576 25 vla-21 ALT-AZ
-1601168.73576 -5041869.06271 3555036.88558 25 vla-22 ALT-AZ
-1601162.55301 -5041829.0216 3555095.85477 25 vla-23 ALT-AZ
-1601155.59371 -5041783.86094 3555162.32777 25 vla-24 ALT-AZ
-1601147.88523 -5041733.85511 3555235.91485 25 vla-25 ALT-AZ
-1601139.48329 -5041679.02104 3555316.4781 25 vla-26 ALT-AZ
