#X Y Z dish_diam station mount
-1601225.23099 -5041980.39073 3554855.65799 25 vla-00 ALT-AZ
-1601315.87428 -5041985.32447 3554808.26378 25 vla-01 ALT-AZ
-1601447.17677 -5041992.52919 3554739.64727 25 vla-02 ALT-AZ
-1601614.0612 -5042001.67655 3554652.4556 25 vla-03 ALT-AZ
-1601814.01298 -5042012.91083 3554548.16977 25 vla-04 ALT-AZ
-1602044.86752 -5042025.83427 3554427.79107 25 vla-05 ALT-AZ
-1602304.86979 -5042039.85298 3554291.69125 25 vla-06 ALT-AZ
-1602592.82353 -5042055.01342 3554140.65277 25 vla-07 ALT-AZ
-1602908.14281 -5042072.31321 3553975.84781 25 vla-08 ALT-AZ
-1601150.02746 -5042000.63073 3554860.7035 25 vla-09 ALT-AZ
-1601068.77119 -5042051.92937 3554824.76736 25 vla-10 ALT-AZ
-1600951.54572 -5042125.92728 3554772.9872 25 vla-11 ALT-AZ
-1600801.8806 -5042219.38668 3554706.38228 25 vla-12 ALT-AZ
-1600622.88369 -5042331.78298 3554626.99422 25 vla-13 ALT-AZ
-1600416.76602 -5042462.38258 3554536.01918 25 vla-14 ALT-AZ
-1600183.9121 -5042610.01907 3554433.59505 25 vla-15 ALT-AZ
-1599926.05941 -5042772.99258 3554319.74284 25 vla-16 ALT-AZ
-1599644.83111 -5042953.70034 3554196.9748 25 vla-17 ALT-AZ
-1601180.82094 -5041947.4599 3554921.57337 25 vla-18 ALT-AZ
-1601173.90363 -5041902.67908 3554987.48576 25 vla-19 ALT-AZ
-1601162.55301 -5041829.0216 3555095.85477 25 vla-20 ALT-AZ
-1601147.88523 -5041733.85511 3555235.91485 25 vla-21 ALT-AZ
-1601130.27558 -5041619.78757 3555403.70274 25 vla-22 ALT-AZ
-1601109.97951 -5041488.11869 3555597.38671 25 vla-23 ALT-AZ
-1601087.13516 -5041339.86779 3555815.80357 25 vla-24 ALT-AZ
-1601061.91592 -5041175.90771 3556057.98198 25 vla-25 ALT-AZ
-1601034.33823 -5040996.54777 3556322.88467 25 vla-26 ALT-AZ
