#format:name i ra_d dec_d emaj_s emin_s pa_d
S0 10 0.0 0.0 0.0 0.0 0.0
S1 1.349395 -0.398704 -0.658192 0.0 0.0 0.0
S2 1.471186 0.428777 -0.867319 0.0 0.0 0.0
S3 1.877240 -0.359801 0.088913 0.0 0.0 0.0
S4 3.449020 0.317699 0.637845 0.0 0.0 0.0
S5 1.371068 0.738027 -0.064326 0.0 0.0 0.0
S6 1.456071 0.386907 -0.657471 0.0 0.0 0.0
S7 2.749317 0.393023 -0.112635 0.0 0.0 0.0
S8 3.538439 -0.753964 0.702730 0.0 0.0 0.0
S9 1.587238 0.731124 -0.604519 0.0 0.0 0.0
S10 4.109369 0.497340 -0.700417 0.0 0.0 0.0
S11 1.178818 0.827393 0.716494 0.0 0.0 0.0
S12 2.218792 -0.165103 0.955874 0.0 0.0 0.0
S13 1.031701 0.309827 -0.736863 0.0 0.0 0.0
S14 1.552888 0.423524 -0.891248 0.0 0.0 0.0
S15 2.446346 -0.398996 0.620403 0.0 0.0 0.0
S16 1.091754 -0.481739 0.455074 0.0 0.0 0.0
S17 3.447139 0.223436 0.128086 0.0 0.0 0.0
S18 1.299801 -0.052849 -0.568645 0.0 0.0 0.0
S19 1.027652 -0.764479 -0.434944 0.0 0.0 0.0
S20 1.199329 -0.708089 0.818013 0.0 0.0 0.0
S21 3.550473 0.016396 -0.107649 0.0 0.0 0.0
S22 1.028530 -0.031267 -0.363998 0.0 0.0 0.0
S23 1.185993 0.658471 0.555381 0.0 0.0 0.0
S24 1.415072 -0.360449 -0.039261 0.0 0.0 0.0
S25 1.508654 -0.275499 0.191918 0.0 0.0 0.0
S26 1.815481 0.095023 -0.342349 0.0 0.0 0.0
S27 5.906633 0.670948 0.209453 0.0 0.0 0.0
S28 1.235264 0.038707 0.708430 0.0 0.0 0.0
S29 1.154053 0.576637 -0.133889 0.0 0.0 0.0
S30 2.287787 -0.843732 -0.009857 0.0 0.0 0.0
